Symbol,LogisticReg_Acc,RandomForest_Acc,Best_Model,Best_Accuracy
ASL,55.6%,56.6%,RandomForest,56.6%
DGKC,48.5%,51.0%,RandomForest,51.0%
EFERT,44.4%,45.5%,RandomForest,45.5%
FCCL,53.0%,54.5%,RandomForest,54.5%
FFC,58.6%,54.0%,LogisticRegression,58.6%
HBL,47.5%,50.0%,RandomForest,50.0%
HUBC,51.5%,50.0%,LogisticRegression,51.5%
ISL,59.1%,58.1%,LogisticRegression,59.1%
LUCK,51.8%,51.8%,LogisticRegression,51.8%
MCB,53.5%,53.5%,LogisticRegression,53.5%
MEBL,44.4%,49.5%,RandomForest,49.5%
MLCF,50.5%,44.4%,LogisticRegression,50.5%
OGDC,47.0%,47.0%,LogisticRegression,47.0%
POL,54.5%,50.5%,LogisticRegression,54.5%
PPL,50.0%,54.5%,RandomForest,54.5%
PSO,53.5%,49.5%,LogisticRegression,53.5%
UBL,51.0%,49.0%,LogisticRegression,51.0%
