Symbol,ARIMA_Order,RMSE,Directional_Accuracy
ASL,"(1, 0, 1)",3.2957,49.3%
DGKC,"(1, 0, 0)",2.8449,49.8%
EFERT,"(5, 1, 0)",2.0367,47.8%
FCCL,"(5, 1, 0)",2.6617,47.3%
FFC,"(5, 1, 0)",2.0616,55.7%
HBL,"(1, 0, 0)",2.4246,49.8%
HUBC,"(0, 0, 2)",2.1780,0.5%
ISL,"(1, 0, 0)",2.7457,42.4%
LUCK,"(1, 0, 0)",2.4718,52.0%
MCB,"(1, 0, 0)",1.7087,52.7%
MEBL,"(0, 0, 2)",1.9884,55.7%
MLCF,"(1, 0, 0)",2.7968,47.8%
OGDC,"(5, 1, 0)",2.1932,49.8%
POL,"(0, 0, 2)",1.6314,0.0%
PPL,"(0, 0, 1)",2.4883,0.0%
PSO,"(5, 1, 0)",2.6475,48.3%
UBL,"(5, 1, 0)",2.4848,52.7%
