DATE,SYMBOL,LDCP,OPEN,HIGH,LOW,CLOSE,CHANGE,CHANGE (%),VOLUME,pct_change
2017-01-02,ASL,15.73,15.89,16.73,15.8,16.73,1.0,6.357279084551812,16252000,
2017-01-03,ASL,16.73,16.9,16.99,15.73,16.58,-0.1500000000000021,-0.8965929468021645,19301500,-0.8965929468021661
2017-01-04,ASL,16.58,16.7,17.35,16.3,17.04,0.4600000000000008,2.77442702050664,23941500,2.7744270205066313
2017-01-05,ASL,17.04,17.3,17.95,17.2,17.71,0.6700000000000017,3.931924882629118,24023500,3.931924882629123
2017-01-06,ASL,17.71,17.7,18.71,17.65,18.71,1.0,5.64652738565782,30996000,5.646527385657829
2017-01-09,ASL,18.71,18.8,19.59,18.52,18.78,0.0700000000000002,0.3741314804917171,17190500,0.37413148049172396
2017-01-10,ASL,18.78,18.85,19.4,18.5,19.13,0.3499999999999978,1.8636847710330025,8852000,1.863684771033003
2017-01-11,ASL,19.13,19.26,19.75,19.1,19.2,0.0700000000000002,0.3659174072138018,11083000,0.3659174072138116
2017-01-12,ASL,19.2,19.31,19.5,18.8,18.89,-0.3099999999999987,-1.6145833333333268,8072000,-1.6145833333333304
2017-01-13,ASL,18.89,18.95,19.14,18.4,18.52,-0.370000000000001,-1.9587083112758124,7054000,-1.9587083112758141
2017-01-16,ASL,18.52,18.56,18.69,17.92,17.99,-0.5300000000000011,-2.861771058315341,6331500,-2.8617710583153433
2017-01-17,ASL,17.99,18.18,18.65,17.2,18.42,0.4300000000000032,2.390216787103965,15732000,2.3902167871039603
2017-01-18,ASL,18.42,18.5,19.0,18.49,18.65,0.2299999999999968,1.2486427795873878,11664000,1.2486427795873833
2017-01-19,ASL,18.65,19.65,19.65,19.6,19.65,1.0,5.361930294906166,7926000,5.36193029490617
2017-01-20,ASL,19.65,20.65,20.65,20.65,20.65,1.0,5.089058524173028,299500,5.089058524173029
2017-01-23,ASL,20.65,21.68,21.68,21.68,21.68,1.0300000000000011,4.98789346246974,375500,4.98789346246975
2017-01-24,ASL,21.68,22.76,22.76,21.6,22.01,0.3300000000000018,1.5221402214022226,48873500,1.522140221402224
2017-01-25,ASL,22.01,22.1,23.11,22.1,22.99,0.9799999999999968,4.452521581099486,24535000,4.452521581099478
2017-01-26,ASL,22.99,23.15,24.13,23.1,24.01,1.0200000000000031,4.43671161374512,21108500,4.436711613745126
2017-01-27,ASL,24.01,24.3,24.75,23.8,24.04,0.0299999999999975,0.124947938359007,16076500,0.12494793835899909
2017-01-30,ASL,24.04,24.29,24.45,22.84,23.17,-0.8699999999999974,-3.618968386023284,19493500,-3.61896838602328
2017-01-31,ASL,23.17,23.15,23.7,22.25,22.57,-0.6000000000000014,-2.5895554596461,13781500,-2.589555459646098
2017-02-01,ASL,22.57,22.95,23.69,22.9,23.64,1.0700000000000005,4.740806380150644,18661000,4.740806380150642
2017-02-02,ASL,23.64,24.05,24.8,23.86,24.16,0.5199999999999996,2.1996615905245327,17371500,2.1996615905245376
2017-02-03,ASL,24.16,24.25,24.25,23.52,23.8,-0.3599999999999994,-1.4900662251655603,8444000,-1.490066225165565
2017-02-06,ASL,23.8,23.9,24.63,23.6,24.15,0.3499999999999978,1.4705882352941086,10073500,1.4705882352941124
2017-02-07,ASL,24.15,24.29,25.35,24.29,25.35,1.2000000000000028,4.968944099378894,17901500,4.968944099378891
2017-02-08,ASL,25.35,26.61,26.61,26.5,26.61,1.259999999999998,4.9704142011834245,6064000,4.970414201183426
2017-02-09,ASL,26.61,26.77,27.94,26.02,27.03,0.4200000000000017,1.578354002254798,34598500,1.5783540022547893
2017-02-10,ASL,27.03,27.2,28.38,27.11,28.22,1.1899999999999975,4.402515723270431,18539000,4.402515723270439
2017-02-13,ASL,28.22,28.94,29.63,26.81,27.21,-1.009999999999998,-3.57902197023387,29573500,-3.5790219702338644
2017-02-14,ASL,27.21,26.85,28.0,26.5,27.31,0.0999999999999978,0.3675119441381766,40870500,0.3675119441381769
2017-02-15,ASL,27.31,27.6,27.75,25.95,26.08,-1.2300000000000004,-4.503844745514465,18966500,-4.503844745514463
2017-02-16,ASL,26.08,26.15,27.38,25.5,27.38,1.3000000000000007,4.98466257668712,21720000,4.984662576687127
2017-02-17,ASL,27.38,27.49,28.09,27.05,27.31,-0.0700000000000002,-0.2556610664718783,19867000,-0.2556610664718795
2017-02-20,ASL,27.31,27.5,27.7,25.95,25.95,-1.3599999999999994,-4.979860856828998,9709000,-4.979860856828999
2017-02-21,ASL,25.95,25.25,27.24,24.66,27.06,1.1099999999999994,4.277456647398842,29404500,4.277456647398847
2017-02-22,ASL,27.06,27.49,27.59,25.71,25.79,-1.2699999999999996,-4.693274205469327,34222000,-4.693274205469322
2017-02-23,ASL,25.79,25.7,26.5,24.9,26.13,0.3399999999999998,1.3183404420317948,19409500,1.3183404420317846
2017-02-24,ASL,26.13,27.43,27.43,24.83,25.05,-1.0799999999999983,-4.133180252583232,24388000,-4.1331802525832355
2017-02-27,ASL,25.05,23.8,24.77,23.8,23.8,-1.25,-4.990019960079841,24971500,-4.990019960079839
2017-02-28,ASL,23.8,23.8,24.15,22.61,23.46,-0.3399999999999998,-1.428571428571428,17093500,-1.4285714285714235
2017-03-01,ASL,23.46,23.95,24.63,23.81,24.6,1.1400000000000006,4.859335038363174,15262000,4.859335038363177
2017-03-02,ASL,24.6,25.1,25.25,23.75,24.04,-0.5600000000000023,-2.276422764227652,20627500,-2.276422764227648
2017-03-03,ASL,24.04,24.0,24.45,23.3,23.42,-0.6199999999999974,-2.5790349417637164,16277000,-2.5790349417637137
2017-03-06,ASL,23.42,23.55,23.55,22.56,22.67,-0.75,-3.202391118701964,7643500,-3.202391118701964
2017-03-07,ASL,22.67,22.67,23.1,22.05,22.32,-0.3500000000000014,-1.5438906043229,10542000,-1.543890604322895
2017-03-08,ASL,22.32,22.5,23.43,22.4,23.27,0.9499999999999992,4.256272401433688,15385000,4.256272401433692
2017-03-09,ASL,23.27,23.38,23.45,22.3,22.46,-0.8099999999999987,-3.480876665234202,8577500,-3.4808766652342005
2017-03-10,ASL,22.46,22.38,22.64,21.57,22.0,-0.4600000000000008,-2.048085485307217,6774000,-2.048085485307216
2017-03-13,ASL,22.0,23.0,23.1,22.61,22.74,0.7399999999999984,3.3636363636363567,10625000,3.3636363636363464
2017-03-14,ASL,22.74,22.79,22.89,21.66,22.66,-0.0799999999999983,-0.3518029903254103,6945500,-0.3518029903254116
2017-03-15,ASL,22.66,22.9,23.22,22.49,22.6,-0.0599999999999987,-0.2647837599293853,11189500,-0.26478375992938785
2017-03-16,ASL,22.6,22.65,22.75,22.05,22.54,-0.0600000000000022,-0.2654867256637269,4950000,-0.26548672566372167
2017-03-17,ASL,22.54,22.5,22.75,22.2,22.31,-0.2300000000000004,-1.020408163265308,4849500,-1.0204081632653073
2017-03-20,ASL,22.31,22.48,23.42,22.48,23.36,1.0500000000000007,4.706409681757063,10383000,4.706409681757062
2017-03-21,ASL,23.36,23.59,24.52,23.55,24.52,1.16,4.965753424657534,25594500,4.965753424657526
